sponsor,effective_date,call_type,operator_tadig,operator_name,country_name,bparty_iso,bparty_prefix,bparty_name,currency,setup_charge,traffic_interval_1,traffic_interval_n,traffic_interval_unit,traffic_charge_1,traffic_charge_n,traffic_charge_unit
TELZ4,2023-11-01,VOICE_MO,AUSTA,Telstra Corporation Ltd.,Australia,,"44",United Kingdom,GBP,,1,1,seconds,0.12067214500000000000,0.12067214500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,AUSVF,TPG Telecom Limited,Australia,,"44",United Kingdom,GBP,,1,1,seconds,0.21117622500000000000,0.21117622500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,AUTCA,Hutchison Drei Austria GmbH,Austria,,"44",United Kingdom - UNITED KINGDOM (4470) [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR],GBP,,1,1,seconds,1.19981257200000000000,1.19981257200000000000,minutes
TELZ4,2023-11-01,VOICE_MO,AUTMM,T-Mobile Austria GmbH,Austria,,"44",United Kingdom - UNITED KINGDOM (447781*),GBP,,1,1,seconds,0.16197474000000000000,0.16197474000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,AUTPT,A1 Telekom Austria AG,Austria,,"44",United Kingdom,GBP,,1,1,seconds,0.28155606400000000000,0.28155606400000000000,minutes
TELZ4,2023-11-01,VOICE_MO,AZEBC,BAKCELL LLC,Azerbaijan,,"44",United Kingdom,GBP,,60,60,seconds,2.9581102700000000,2.9581102700000000,minutes
TELZ4,2023-11-01,VOICE_MO,BELKO,Telenet Group BVBA/SPRL (Base),Belgium,,"44",United Kingdom,GBP,,60,60,seconds,0.98984536500000000000,0.98984536500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,BELMO,ORANGE BELGIUM NV/SA,Belgium,,"44",United Kingdom - UNITED KINGDOM (447781*),GBP,,60,60,seconds,0.09998433500000000000,0.09998433500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,BELTB,Proximus PLC,Belgium,,"44",United Kingdom,GBP,,1,1,seconds,0.29995312000000000000,0.29995312000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,BFAON,Moov Africa BF,Burkina Faso,,"44",United Kingdom,GBP,,60,60,seconds,1.92969862000000000000,1.92969862000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,BGDAK,Robi Axiata Limited,Bangladesh,,"44",United Kingdom,GBP,,60,60,seconds,2.6998625900000000,2.6998625900000000,minutes
TELZ4,2023-11-01,VOICE_MO,BGR01,A1 Bulgaria EAD,Bulgaria,,"44",United Kingdom,GBP,,1,1,seconds,0.21996567500000000000,0.21996567500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,BGRVA,Vivacom Bulgaria EAD,Bulgaria,,"44",United Kingdom,GBP,,60,60,seconds,1.07354420500000000000,1.07354420500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,BHRBT,Bahrain Telecommunications Company (B.S.C.),Bahrain,,"44",United Kingdom - UNITED KINGDOM (447781*),GBP,,1,1,seconds,0.07472734500000000000,0.07472734500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,BHSBH,The Bahamas Telecommunications Company Ltd (BTC),Bahamas,,"44",United Kingdom,GBP,,60,60,seconds,3.0426277950000000,3.0426277950000000,minutes
TELZ4,2023-11-01,VOICE_MO,BIHMS,M:tel,Bosnia,,"44",United Kingdom,GBP,,60,60,seconds,1.11955329000000000000,1.11955329000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,BLR02,Mobile TeleSystems JLLC (MTS),Belarus,,"44",United Kingdom,GBP,,60,60,seconds,1.54975794000000000000,1.54975794000000000000,minutes
